year,aqi
1997.0,
1997.0,21.0
1997.0,
1997.0,32.0
1997.0,
1997.0,44.0
1997.0,
1997.0,
1997.0,43.0
1997.0,
1997.0,41.0
1997.0,
1997.0,35.0
1997.0,
1997.0,30.0
1997.0,
1997.0,19.0
1997.0,
1997.0,18.0
1997.0,
1997.0,
1997.0,
1997.0,23.0
1997.0,
1997.0,39.0
1997.0,
1997.0,34.0
1997.0,
1997.0,36.0
1997.0,
1997.0,24.0
1997.0,
1997.0,19.0
1997.0,
1997.0,41.0
1997.0,
1997.0,54.0
1997.0,
1997.0,44.0
1997.0,
1997.0,35.0
1997.0,
1997.0,30.0
1997.0,
1997.0,25.0
1997.0,
1997.0,25.0
1997.0,
1997.0,29.0
1997.0,
1997.0,35.0
1997.0,
1997.0,20.0
1997.0,
1997.0,20.0
1997.0,
1997.0,23.0
1997.0,
1997.0,15.0
1997.0,
1997.0,6.0
1997.0,
1997.0,25.0
1997.0,
1997.0,
1997.0,31.0
1997.0,
1997.0,26.0
1997.0,
1997.0,33.0
1997.0,
1997.0,15.0
1997.0,
1997.0,10.0
1997.0,
1997.0,6.0
1997.0,
1997.0,17.0
1997.0,
1997.0,37.0
1997.0,
1997.0,31.0
1997.0,
1997.0,27.0
1997.0,
1998.0,17.0
1998.0,
1998.0,18.0
1998.0,
1998.0,19.0
1998.0,
1998.0,17.0
1998.0,
1998.0,24.0
1998.0,
1998.0,22.0
1998.0,
1998.0,24.0
1998.0,
1998.0,33.0
1998.0,
1998.0,25.0
1998.0,
1998.0,30.0
1998.0,
1998.0,23.0
1998.0,
1998.0,29.0
1998.0,
1998.0,33.0
1998.0,
1998.0,28.0
1998.0,
1998.0,33.0
1998.0,
1998.0,29.0
1998.0,
1998.0,38.0
1998.0,
1998.0,51.0
1998.0,
1998.0,53.0
1998.0,
1998.0,49.0
1998.0,
1998.0,56.0
1998.0,
1998.0,54.0
1998.0,
1998.0,51.0
1998.0,
1998.0,39.0
1998.0,
1998.0,39.0
1998.0,
1998.0,40.0
1998.0,
1998.0,27.0
1998.0,
1998.0,22.0
1998.0,
1998.0,27.0
1998.0,
1998.0,19.0
1998.0,
1998.0,14.0
1998.0,
1998.0,34.0
1998.0,
1998.0,
1998.0,
1998.0,
1998.0,20.0
1998.0,
1998.0,
1998.0,
1998.0,27.0
1998.0,
1998.0,29.0
1998.0,
1998.0,34.0
1998.0,
1998.0,25.0
1998.0,
1998.0,40.0
1998.0,
1998.0,37.0
1998.0,
1998.0,47.0
1998.0,
1998.0,54.0
1998.0,
1998.0,40.0
1998.0,
1998.0,
1998.0,
1998.0,47.0
1998.0,
1998.0,41.0
1998.0,
1998.0,
1998.0,
1998.0,41.0
1998.0,
1998.0,43.0
1998.0,
1998.0,53.0
1998.0,
1998.0,53.0
1998.0,
1998.0,51.0
1998.0,
1998.0,31.0
1998.0,
1998.0,27.0
1998.0,
1998.0,26.0
1998.0,
1998.0,19.0
1998.0,
1998.0,36.0
1998.0,
1998.0,26.0
1998.0,
1998.0,30.0
1998.0,
1998.0,38.0
1998.0,
1998.0,21.0
1998.0,
1998.0,37.0
1998.0,
1998.0,24.0
1998.0,
1998.0,13.0
1998.0,
1998.0,19.0
1998.0,
1998.0,19.0
1998.0,
1998.0,19.0
1998.0,
1998.0,32.0
1998.0,
1998.0,27.0
1998.0,
1998.0,
1998.0,
1998.0,13.0
1998.0,
1998.0,39.0
1998.0,
1998.0,26.0
1998.0,
1998.0,19.0
1998.0,
1998.0,15.0
1998.0,
1998.0,19.0
1998.0,
1998.0,22.0
1998.0,
1998.0,18.0
1998.0,
1998.0,32.0
1998.0,
1998.0,29.0
1998.0,
1998.0,25.0
1998.0,
1998.0,19.0
1998.0,
1998.0,18.0
1998.0,
1998.0,29.0
1998.0,
1998.0,21.0
1998.0,
1998.0,29.0
1998.0,
1998.0,
1998.0,
1998.0,32.0
1998.0,
1998.0,29.0
1998.0,
